objectid,filename,title,format,date,date-is-approximate?,source,description,Location,latitude,longitude,subject,meal-type,key-ingredients,rights,rights-statement
001,StudentRecipes001.pdf,Coffee Bread,application/pdf,1940,yes,Indiana University Archives;C589 400 Recipes Used at the Practice House,This comes from the Bread section of the cookbook,"Bloomington, IN",39.1653,-86.5264,Coffee;Coffee cakes,Dessert,"0600000 - 6. TEA, COFFEE, HERBAL INFUSIONS AND COCOA (EC)",Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Indiana University Archives.,https://rightsstatements.org/page/InC-EDU/1.0/?language=en
002,StudentRecipes002pdf,Potato Fish Loaf,application/pdf,1940,yes,Indiana University Archives;C589 400 Recipes Used at the Practice House,This comes from the Fish section of the cookbook.,"Bloomington, IN",39.1653,-86.5264,Cooking (Potatoes);Cooking (Fish),Dinner,09580 - POTATOES (EFSA FOODEX2);04 FISH AND FISH PRODUCTS (EUROCODE2),Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Indiana University Archives.,https://rightsstatements.org/page/InC-EDU/1.0/?language=en
003,StudentRecipes003.pdf,Pecan Five O'Clock Teas,application/pdf,1940,yes,Indiana University Archives;C589 400 Recipes Used at the Practice House,This comes from the Cookies and Small Cakes section of the cookbook.,"Bloomington, IN",39.1653,-86.5264,Cooking (Pecans);Cookies,Dessert,11500 - PECANS (EFSA FOODEX2);2 EGG AND EGG PRODUCTS (EUROCODE2),Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Indiana University Archives.,https://rightsstatements.org/page/InC-EDU/1.0/?language=en
004,StudentRecipes004.pdf,Scotch Short Bread,application/pdf,1940,yes,Indiana University Archives;C589 400 Recipes Used at the Practice House,This comes from the Cookies and Small Cakes section of the cookbook.,"Bloomington, IN",39.1653,-86.5264,Cookies,Dessert,"02460 - BISCUIT WITH INCLUSIONS, FILLING OR COATING (EFSA FOODEX2);02390 - BUTTER BISCUITS (EFSA FOODEX2)",Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Indiana University Archives.,https://rightsstatements.org/page/InC-EDU/1.0/?language=en
005,StudentRecipes005.pdf,Cherry Soup for Summer,application/pdf,1940,yes,Indiana University Archives;C589 400 Recipes Used at the Practice House,This comes from the First Course Suggestions section of the cookbook.,"Bloomington, IN",39.1653,-86.5264,Soups,Soup,"14960 - CHERRIES (SWEET) (EFSA FOODEX2);0600 SOUPS, SAUCES, AND GRAVIES (USDA SR)",Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Indiana University Archives.,https://rightsstatements.org/page/InC-EDU/1.0/?language=en
006,StudentRecipes006.pdf,Melon and Ginger Ale Cocktail,application/pdf,1940,yes,Indiana University Archives;C589 400 Recipes Used at the Practice House,This comes from the First Course Suggestions section of the cookbook.,"Bloomington, IN",39.1653,-86.5264,Cocktails;Carbonated Beverages,Drinks,06940 - MELONS (EFSA FOODEX2);2790 - SOFT DRINKS WITH MINOR AMOUNTS OF FRUITS OR FLAVOURS (EFSA FOODEX2),Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Indiana University Archives.,https://rightsstatements.org/page/InC-EDU/1.0/?language=en
007,StudentRecipes007.pdf,Orange and Mint Cocktail,application/pdf,1940,yes,Indiana University Archives;C589 400 Recipes Used at the Practice House,This comes from the First Course Suggestions section of the cookbook.,"Bloomington, IN",39.1653,-86.5264,Cocktails;Carbonated Beverages,Drinks,10005889 - ORANGES (GS1 GPC);08790 - MINTS (EFSA FOODEX2),Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Indiana University Archives.,https://rightsstatements.org/page/InC-EDU/1.0/?language=en
008,StudentRecipes008.pdf,Orange Tulips,application/pdf,1940,yes,Indiana University Archives;C589 400 Recipes Used at the Practice House,This comes from the First Course Suggestions section of the cookbook.,"Bloomington, IN",39.1653,-86.5264,Cocktails;Carbonated Beverages,Drinks,10005889 - ORANGES (GS1 GPC),Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Indiana University Archives.,https://rightsstatements.org/page/InC-EDU/1.0/?language=en
009,StudentRecipes009.pdf,Beef Cecils,application/pdf,1940,yes,Indiana University Archives;C589 400 Recipes Used at the Practice House,This comes from the Meats section of  the cookbook.,"Bloomington, IN",39.1653,-86.5264,Cooking (Beef),Dinner,10005767 - BEEF - PREPARED/PROCESSED (GS1 GPC),Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Indiana University Archives.,https://rightsstatements.org/page/InC-EDU/1.0/?language=en
010,StudentRecipes010.pdf,Beef Shortcake,application/pdf,1940,yes,Indiana University Archives;C589 400 Recipes Used at the Practice House,This comes from the Meats section of  the cookbook.,"Bloomington, IN",39.1653,-86.5264,Cooking (Beef),Dinner,10005767 - BEEF - PREPARED/PROCESSED (GS1 GPC),Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Indiana University Archives.,https://rightsstatements.org/page/InC-EDU/1.0/?language=en
